,day,away,home,winner,away_score,home_score
0,2022-12-29,Appalachian State,Marshall,Marshall,53,79
1,2022-12-31,James Madison,Marshall,James Madison,72,66
2,2023-01-05,Marshall,Georgia Southern,Georgia Southern,76,81
3,2023-01-07,Coastal Carolina,Marshall,Marshall,66,81
4,2023-01-12,Southern Miss,Marshall,,0,0
5,2023-01-14,Old Dominion,Marshall,,0,0
6,2023-01-19,Marshall,Texas State,,0,0
7,2023-01-21,Marshall,Arkansas State,,0,0
8,2023-01-26,UL Monroe,Marshall,,0,0
9,2023-01-28,Georgia State,Marshall,,0,0
10,2023-02-02,Marshall,Appalachian State,,0,0
11,2023-02-04,Marshall,Louisiana,,0,0
12,2023-02-09,Marshall,Coastal Carolina,,0,0
13,2023-02-11,Marshall,Georgia State,,0,0
14,2023-02-16,Georgia Southern,Marshall,,0,0
15,2023-02-18,Troy,Marshall,,0,0
16,2023-02-22,Marshall,James Madison,,0,0
17,2023-02-24,Marshall,Old Dominion,,0,0
18,2022-12-29,James Madison,Georgia State,James Madison,63,47
19,2023-01-05,Texas State,James Madison,Texas State,63,62
20,2023-01-07,Appalachian State,James Madison,Appalachian State,71,62
21,2023-01-12,James Madison,South Alabama,,0,0
22,2023-01-14,Georgia Southern,James Madison,,0,0
23,2023-01-19,James Madison,Troy,,0,0
24,2023-01-21,James Madison,Southern Miss,,0,0
25,2023-01-26,Coastal Carolina,James Madison,,0,0
26,2023-01-28,UL Monroe,James Madison,,0,0
27,2023-02-02,James Madison,Old Dominion,,0,0
28,2023-02-04,James Madison,Appalachian State,,0,0
29,2023-02-09,James Madison,Georgia Southern,,0,0
30,2023-02-11,James Madison,Coastal Carolina,,0,0
31,2023-02-16,Old Dominion,James Madison,,0,0
32,2023-02-18,Louisiana,James Madison,,0,0
33,2023-02-24,Georgia State,James Madison,,0,0
34,2022-12-29,Louisiana,Coastal Carolina,Coastal Carolina,76,77
35,2022-12-31,Louisiana,Old Dominion,Old Dominion,66,70
36,2023-01-05,Southern Miss,Louisiana,Louisiana,61,75
37,2023-01-07,Georgia State,Louisiana,Louisiana,70,78
38,2023-01-12,Louisiana,UL Monroe,,0,0
39,2023-01-14,Louisiana,South Alabama,,0,0
40,2023-01-19,Louisiana,Arkansas State,,0,0
41,2023-01-21,Louisiana,Texas State,,0,0
42,2023-01-26,Troy,Louisiana,,0,0
43,2023-01-28,Georgia Southern,Louisiana,,0,0
44,2023-02-02,Texas State,Louisiana,,0,0
45,2023-02-09,Louisiana,Southern Miss,,0,0
46,2023-02-11,Louisiana,Troy,,0,0
47,2023-02-16,UL Monroe,Louisiana,,0,0
48,2023-02-22,Arkansas State,Louisiana,,0,0
49,2023-02-24,South Alabama,Louisiana,,0,0
50,2022-12-29,Troy,Southern Miss,Southern Miss,60,64
